,t,msd
619,61.9,29.894386
620,62.0,29.903698
621,62.1,29.937939
622,62.2,29.942244
623,62.3,29.937
624,62.4,29.962364
625,62.5,29.989077
626,62.6,30.01052
627,62.7,30.033798
628,62.8,30.062654
629,62.9,30.053642
630,63.0,30.060806
631,63.1,30.072754
632,63.2,30.0808
633,63.3,30.092728
634,63.4,30.087954
635,63.5,30.114979
636,63.6,30.152084
637,63.7,30.181416
638,63.8,30.205019
639,63.9,30.232006
640,64.0,30.2562
641,64.1,30.275259
642,64.2,30.311323
643,64.3,30.333244
644,64.4,30.3498
645,64.5,30.37867
646,64.6,30.413837
647,64.7,30.442122
648,64.8,30.483631
649,64.9,30.526554
650,65.0,30.580383
651,65.1,30.622313
652,65.2,30.64459
653,65.3,30.677555
654,65.4,30.718622
655,65.5,30.757765
656,65.6,30.780785
657,65.7,30.798151
658,65.8,30.820305
659,65.9,30.84439
660,66.0,30.883204
661,66.1,30.936125
662,66.2,30.967472
663,66.3,31.019745
664,66.4,31.064503
665,66.5,31.105288
666,66.6,31.131403
667,66.7,31.159204
668,66.8,31.169247
669,66.9,31.18654
670,67.0,31.216368
671,67.1,31.253086
672,67.2,31.31128
673,67.3,31.351105
674,67.4,31.38257
675,67.5,31.409744
676,67.6,31.42626
677,67.7,31.443075
678,67.8,31.489958
679,67.9,31.534054
680,68.0,31.565401
681,68.1,31.587032
682,68.2,31.62649
683,68.3,31.670242
684,68.4,31.702425
685,68.5,31.726267
686,68.6,31.761202
687,68.7,31.79853
688,68.8,31.837297
689,68.9,31.867443
690,69.0,31.900894
691,69.1,31.921745
692,69.2,31.955189
693,69.3,31.988424
694,69.4,32.02428
695,69.5,32.053818
696,69.6,32.07084
697,69.7,32.077362
698,69.8,32.076153
699,69.9,32.094505
700,70.0,32.121624
701,70.1,32.134884
702,70.2,32.143593
703,70.3,32.151222
704,70.4,32.17016
705,70.5,32.183414
706,70.6,32.211216
707,70.7,32.22909
708,70.8,32.25557
709,70.9,32.273766
710,71.0,32.28607
711,71.1,32.290993
712,71.2,32.32186
713,71.3,32.326237
714,71.4,32.333336
715,71.5,32.349346
716,71.6,32.368843
717,71.7,32.37989
718,71.8,32.412685
719,71.9,32.424335
720,72.0,32.43321
721,72.1,32.436935
722,72.2,32.458054
723,72.3,32.486084
724,72.4,32.496845
725,72.5,32.51287
726,72.6,32.518
727,72.7,32.51378
